2015-02-07 09:56:08,725 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.unitri.aula01jpa:Aula01JPA:0.0.1-SNAPSHOT @ /Users/rogeriofontes/Documents/workspace-pos-java-persistencia/Aula01JPA/pom.xml.
2015-02-07 09:56:11,417 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Aula01JPA/src/main/java
2015-02-07 09:56:11,425 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.unitri.aula01jpa:Aula01JPA:0.0.1-SNAPSHOT @ /Users/rogeriofontes/Documents/workspace-pos-java-persistencia/Aula01JPA/pom.xml.
2015-02-07 09:56:11,430 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Aula01JPA/src/main/resources
2015-02-07 09:56:11,430 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Aula01JPA/src/test/java
2015-02-07 09:56:11,431 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Aula01JPA/src/test/resources
2015-02-07 09:56:27,366 [Worker-17] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.unitri.aula01jpa:Aula01JPA:0.0.1-SNAPSHOT @ /Users/rogeriofontes/Documents/workspace-pos-java-persistencia/Aula01JPA/pom.xml.
2015-02-07 09:56:27,574 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-07 09:56:28,155 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-02-07 09:56:28,157 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-02-07 09:56:28,158 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-02-07 09:57:19,151 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.unitri.aula01jdbc:Aula01JDBC:0.0.1-SNAPSHOT @ /Users/rogeriofontes/Documents/workspace-pos-java-persistencia/Aula01JDBC/pom.xml.
2015-02-07 09:57:19,196 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Aula01JDBC/src/main/java
2015-02-07 09:57:19,197 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Aula01JDBC/src/main/resources
2015-02-07 09:57:19,197 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Aula01JDBC/src/test/java
2015-02-07 09:57:19,197 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Aula01JDBC/src/test/resources
2015-02-07 09:57:19,819 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: br.edu.unitri.aula01jdbc:Aula01JDBC:0.0.1-SNAPSHOT @ /Users/rogeriofontes/Documents/workspace-pos-java-persistencia/Aula01JDBC/pom.xml.
